epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5132,1.5701,3.16284,2.10367,0.00336,1,0.14126,0.06562,0.97717,3.80547,2.09921,3.334e-05,3.334e-05,3.334e-05
2,28.4472,1.23057,2.98958,1.77218,0.00339,1,0.19939,0.10891,0.80887,3.66697,1.81788,8.16997e-05,8.16997e-05,8.16997e-05
3,41.6091,0.9167,2.92319,1.56785,0.00337,1,0.4204,0.26807,0.69652,3.63514,1.5879,0.000128079,0.000128079,0.000128079
4,54.9245,0.88775,2.83442,1.45646,0.0034,1,0.44523,0.28941,0.76334,3.60654,1.67645,0.000172478,0.000172478,0.000172478
5,68.0357,0.86959,2.75267,1.40746,0.00338,1,0.49414,0.29397,0.73189,3.64419,1.73257,0.000214896,0.000214896,0.000214896
6,81.4642,0.94314,2.81465,1.60087,0.00338,1,0.44348,0.23921,0.74338,3.60214,1.74185,0.000255334,0.000255334,0.000255334
7,95.2825,0.89515,2.66008,1.48914,0.00351,1,0.42809,0.28393,0.69987,3.56821,1.62884,0.000293792,0.000293792,0.000293792
8,108.604,0.80615,2.53998,1.45032,0.00366,1,0.50879,0.33879,0.71109,3.54711,1.62562,0.000330269,0.000330269,0.000330269
9,121.991,0.80729,2.42927,1.47637,0.00405,1,0.59841,0.42012,0.79714,3.55802,1.75421,0.000364766,0.000364766,0.000364766
10,135.412,0.81242,2.30495,1.36663,0.00426,1,0.60666,0.42729,0.84807,3.54539,1.82207,0.000397283,0.000397283,0.000397283
11,148.797,0.95488,2.25024,1.49578,0.00449,1,0.69958,0.43209,0.84622,3.60704,1.82472,0.000427819,0.000427819,0.000427819
12,162.3,0.8562,2.00304,1.39092,0.00436,1,0.65183,0.39431,0.93918,3.61993,1.8922,0.000456375,0.000456375,0.000456375
13,176.514,0.9331,1.95083,1.44672,0.00402,0.92857,0.45149,0.22826,1.29642,3.87872,2.13834,0.00048295,0.00048295,0.00048295
14,193.272,0.98776,1.90036,1.49854,0.00355,0.83333,0.31565,0.15027,1.72938,4.14714,2.49918,0.000507545,0.000507545,0.000507545
15,209.579,0.93332,1.68087,1.43674,0.00246,0.65915,0.14225,0.06732,2.7481,4.86298,3.34158,0.000530159,0.000530159,0.000530159
16,223.276,0.90253,1.55654,1.43117,0.0024,0.6015,0.12654,0.04782,3.34571,5.27257,3.7529,0.000550793,0.000550793,0.000550793
17,236.308,0.95669,1.66453,1.51482,0.00331,0.89975,0.39795,0.13574,1.97301,4.18056,2.79567,0.000569447,0.000569447,0.000569447
18,249.255,0.96943,1.50355,1.48947,0.00329,0.92356,0.59688,0.26927,1.60113,3.81072,2.44996,0.000586121,0.000586121,0.000586121
19,262.286,0.80209,1.54275,1.43333,1,0.27159,0.64033,0.3619,1.45143,3.56427,2.38825,0.000600813,0.000600813,0.000600813
20,275.477,0.91328,1.46267,1.43358,0.9182,0.43212,0.67863,0.44378,1.33859,3.31066,2.32114,0.000613526,0.000613526,0.000613526
21,288.513,0.87736,1.32538,1.42612,0.95118,0.54687,0.72459,0.49054,1.26474,3.22546,2.21721,0.000624258,0.000624258,0.000624258
22,301.679,0.89412,1.29596,1.4071,0.79647,0.63504,0.76437,0.50138,1.25241,3.02876,2.24394,0.00063301,0.00063301,0.00063301
23,314.625,0.91613,1.43719,1.53449,0.84234,0.8121,0.88896,0.61971,0.98586,2.79098,2.12448,0.000639781,0.000639781,0.000639781
24,327.567,0.77981,1.22871,1.34602,0.85435,0.90419,0.919,0.63519,0.95929,2.70362,2.08143,0.000644572,0.000644572,0.000644572
25,342.433,0.82787,1.19025,1.40163,0.85885,0.79503,0.89411,0.59226,0.95644,2.86566,2.00307,0.000647383,0.000647383,0.000647383
26,356.789,0.81223,1.27514,1.37478,0.91983,0.72556,0.86109,0.5009,1.15385,3.09597,2.23425,0.000648213,0.000648213,0.000648213
27,371.425,0.76712,1.28021,1.32626,0.87302,0.65048,0.85616,0.55442,1.09308,3.03445,2.02401,0.000647063,0.000647063,0.000647063
28,384.736,0.87561,1.29179,1.40609,0.75984,0.62943,0.79834,0.49755,1.10053,3.047,1.99979,0.000643932,0.000643932,0.000643932
29,397.549,0.77491,1.22808,1.3993,0.75984,0.62943,0.79834,0.49755,1.10053,3.047,1.99979,0.000638821,0.000638821,0.000638821
30,410.416,0.82951,1.13751,1.38589,0.78441,0.62334,0.81627,0.54243,1.0404,3.01321,1.96857,0.00063173,0.00063173,0.00063173
31,423.256,0.89423,1.304,1.51065,0.76861,0.68421,0.80261,0.54232,0.98146,2.92041,1.92778,0.000622658,0.000622658,0.000622658
32,436.496,0.89541,1.29481,1.46727,0.81581,0.73684,0.88349,0.67182,0.87363,2.81616,1.77113,0.000611606,0.000611606,0.000611606
33,452.64,0.84801,1.12707,1.3417,0.81581,0.73684,0.88349,0.67182,0.87363,2.81616,1.77113,0.000598573,0.000598573,0.000598573
34,470.007,0.72658,1.12411,1.29881,0.7916,0.81579,0.93692,0.69435,0.85764,2.72746,1.77427,0.000577782,0.000577782,0.000577782
35,488.093,0.81093,1.29935,1.40656,0.90477,0.86407,0.96406,0.72767,0.81112,2.58001,1.73684,0.000544776,0.000544776,0.000544776
36,506.847,0.77358,1.13101,1.33833,0.89939,0.9114,0.97556,0.73015,0.78929,2.25608,1.73512,0.000511769,0.000511769,0.000511769
37,523.982,0.66763,1.03392,1.27265,0.89939,0.9114,0.97556,0.73015,0.78929,2.25608,1.73512,0.000478762,0.000478762,0.000478762
